Date,Ticker,BOARD_AVERAGE_AGE,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,BOARD_SIZE,CEO_DUALITY,CHIEF_EXECUTIVE_OFFICER_AGE,CHIEF_EXECUTIVE_OFFICER_TENURE,CUR_MKT_CAP,ENVIRON_DISCLOSURE_SCORE,EQY_INST_PCT_SH_OUT,ESG_DISCLOSURE_SCORE,FEMALE_CEO_OR_EQUIVALENT,GOVNCE_DISCLOSURE_SCORE,INDEPENDENT_DIRECTORS,NUMBER_OF_WOMEN_ON_BOARD,PCT_IND_DIRECTORS_ON_COMP_CMTE,PCT_WOMEN_ON_BOARD,SOCIAL_DISCLOSURE_SCORE,TOT_COMP_AW_TO_CEO_&_EQUIV,BOARD_AVERAGE_TENURE,BS_TOT_ASSET,EPS_GROWTH,FNCL_LVRG,PCT_INSIDER_SHARES_OUT,RETURN_COM_EQY,RETURN_ON_ASSET,SALES_GROWTH,TOBIN_Q_RATIO,security_name,gics_sector_name,Firm Age,LN_BOARD_AVERAGE_AGE,LN_BOARD_MEETINGS_PER_YR,LN_TOT_COMP_AW_TO_CEO_&_EQUIV,LN_CHIEF_EXECUTIVE_OFFICER_TENURE,Ratio of shares,LN_CHIEF_EXECUTIVE_OFFICER_AGE
2010-01-01,0609237D CT Equity,61.0,8.0,98.21,14.0,0.0,,,2461.7247,,,12.8099,,51.7857,13.0,,,21.43,3.5088,,,3524.475,-43.1452,4.6084,,13.3786,2.9031,5.1666,1.4798,TMX Group Inc,,8.0,4.110873864173311,2.0794415416798357,,,,
2011-01-01,0609237D CT Equity,62.07,17.0,99.0,14.0,0.0,,,2747.5177,,37.665,12.8099,,51.7857,13.0,,,21.43,3.5088,,,2965.8,126.9504,3.5251,1.809,25.8205,7.3248,11.688,1.5658,TMX Group Inc,,9.0,4.128262780425561,2.833213344056216,,,0.04802867383512545,
2012-01-01,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,3110.8911,,28.544,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.426,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,,10.0,4.125843229281472,3.5263605246161616,,,0.01492432735426009,
2013-01-01,0609237D CT Equity,61.92,34.0,98.53,12.0,0.0,,,3764.8648,,6.359,12.8099,,51.7857,11.0,,,25.0,3.5088,,,3394.8,-0.625,2.8056,0.663,20.9519,7.4678,7.6566,1.5642,TMX Group Inc,,11.0,4.125843229281472,3.5263605246161616,,,0.10426167636420822,
2010-01-01,0851201D CT Equity,,7.0,94.59,6.0,0.0,,,516.4365,,,11.9835,,48.2143,5.0,,,0.0,3.5088,,,259.182,-71.4286,1.2265,,68.0852,55.5105,69.6205,0.5449,Grande Cache Coal Corp,,10.0,,1.9459101490553132,,,,
2011-01-01,0851201D CT Equity,,9.0,96.3,6.0,0.0,,,1019.7246,,40.381,13.2231,,48.2143,5.0,,,0.0,8.7719,,,337.698,-82.2034,1.2454,2.857,8.3909,6.7374,-6.4747,2.6292,Grande Cache Coal Corp,,11.0,,2.1972245773362196,,,0.07075109581238702,
2012-01-01,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,974.3007,,26.027,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4446,1.857,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,,12.0,,1.9459101490553132,,,0.07134898374764667,
2013-01-01,0851201D CT Equity,,7.0,100.0,6.0,0.0,,,983.7472,,10.92,13.2231,,48.2143,5.0,,,0.0,8.7719,,,434.379,33.3333,1.4446,0.71,10.3769,7.183,15.2982,2.6712,Grande Cache Coal Corp,,13.0,,1.9459101490553132,,,0.06501831501831501,
2010-01-01,1003374D CT Equity,,14.0,94.12,7.0,0.0,,,546.5912,,,11.157,,48.2143,6.0,,,0.0,,,,265.822,-22.7273,1.2573,,10.0387,7.9841,-29.686,2.1479,Neo Material Technologies Inc,,,,2.6390573296152584,,,,
2011-01-01,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,933.6538,,41.124,11.157,,48.2143,7.0,,,12.5,,,,365.023,188.2353,1.3127,0.888,24.4714,18.6423,80.0422,2.8554,Neo Material Technologies Inc,,,,1.6094379124341003,,,0.02159323023052232,
2012-01-01,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,853.4524,,39.639,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.56,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,,,,1.6094379124341003,,,0.014127500693761195,
2013-01-01,1003374D CT Equity,,5.0,97.5,8.0,0.0,,,1157.3711,,18.671,11.157,,48.2143,7.0,,,12.5,,,,850.461,244.898,1.686,0.149,55.7485,33.0662,137.0124,1.4429,Neo Material Technologies Inc,,,,1.6094379124341003,,,0.007980290289754164,
